,Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num,prev_ORtg,prev_DRtg
294,95,92,0,MEM,0.44,0.449,0.222,0.281,17,15,26,19,84,14,78,19,9,9,95.15462626768499,92.14974333291596,1.1333333333333333,1.368421052631579,99.8375,18,24,117.14159775563442,110.87657848932176
295,105,99,0,NOP,0.472,0.416,0.3,0.417,31,9,27,14,89,19,89,13,6,8,103.85756676557864,97.92284866468843,3.4444444444444446,1.9285714285714288,101.1,18,28,117.10589149212905,109.18957128960089
296,136,122,1,HOU,0.622,0.529,0.452,0.364,37,8,23,10,82,23,85,21,10,11,149.5327102803739,134.13963716327655,4.625,2.3,90.95,18,19,116.17334553092128,107.10701265545856
297,107,106,0,MIN,0.472,0.472,0.394,0.324,29,10,27,8,89,14,89,16,15,8,114.28571428571428,113.21762349799734,2.9,3.375,93.625,18,29,117.11233250484105,105.9978491515218
298,103,129,0,DET,0.446,0.545,0.321,0.4320000000000001,28,13,32,20,92,22,88,20,10,16,97.65347238682152,122.30386347475704,2.1538461538461537,1.6,105.475,18,13,116.11699451543818,104.72687846090369
299,130,135,0,BRK,0.505,0.511,0.371,0.5589999999999999,32,13,36,13,99,21,90,33,12,5,111.75585643670752,116.0541586073501,2.4615384615384617,2.769230769230769,116.325,18,7,115.02470425952254,104.4073845980498
300,110,117,0,PHI,0.489,0.5,0.231,0.455,35,12,23,17,94,13,78,32,8,7,98.48908785674314,104.75657526580862,2.9166666666666665,1.3529411764705883,111.6875,18,6,113.93795968626604,106.60712986449195
301,103,87,1,MIA,0.4270000000000001,0.415,0.4320000000000001,0.273,27,15,23,16,89,13,82,16,10,7,100.10934272870855,84.55837686793829,1.8,1.4375,102.8875,18,5,113.02661266961925,108.85901220927852
302,120,118,1,SAC,0.455,0.452,0.258,0.344,26,13,30,12,99,25,93,28,14,10,107.05921712947472,105.27489684398348,2.0,2.5,112.0875,18,27,112.21210007508147,109.42374121115213
303,114,104,0,DAL,0.408,0.405,0.378,0.244,32,13,19,15,103,25,84,33,21,7,97.6236351958895,89.06015842432026,2.4615384615384617,1.2666666666666666,116.775,18,22,110.72580436508018,110.56217829313476
